🔥 STARTING 500s STRESS TEST
   Target: http://localhost:8000
   Duration: 500s
------------------------------------------------------------
TIME       | STATUS   | LATENCY  | CPU%   | MEM%   | BTC PRICE    | SIGNAL
 272s       | OK       |    7.3ms |  15.6% |  76.7% | --           | RUNNING
 273s       | OK       |    7.5ms |  18.8% |  76.9% | --           | RUNNING
 274s       | OK       |   10.6ms |  16.2% |  76.8% | --           | RUNNING
 275s       | OK       |    7.0ms |  15.3% |  76.9% | --           | RUNNING
 276s       | OK       |    7.7ms |  14.9% |  76.9% | --           | RUNNING
 277s       | OK       |    6.4ms |  17.3% |  77.2% | --           | RUNNING
 278s       | OK       |    7.5ms |  28.5% |  76.9% | --           | RUNNING
 279s       | OK       |    8.6ms |  27.9% |  77.5% | --           | RUNNING
 280s       | OK       |    6.3ms |  22.2% |  76.9% | --           | RUNNING
 281s       | OK       |    7.1ms |  20.8% |  76.9% | --           | RUNNING
 282s       | OK       |    6.4ms |  22.5% |  76.9% | --           | RUNNING
 283s       | OK       |    6.8ms |  20.2% |  76.7% | --           | RUNNING
 284s       | OK       |    7.6ms |  20.5% |  76.4% | --           | RUNNING
 285s       | OK       |    6.4ms |  25.5% |  76.8% | --           | RUNNING
 286s       | OK       |    7.2ms |  19.0% |  76.7% | --           | RUNNING
 287s       | OK       |    6.6ms |  18.6% |  76.6% | --           | RUNNING
 288s       | OK       |    7.3ms |  17.1% |  76.7% | --           | RUNNING
 289s       | OK       |    7.1ms |  12.1% |  76.5% | --           | RUNNING
 290s       | OK       |    5.9ms |  25.6% |  77.3% | --           | RUNNING
 291s       | OK       |    7.0ms |  17.9% |  77.6% | --           | RUNNING
 292s       | OK       |    7.5ms |  14.7% |  77.5% | --           | RUNNING
 293s       | OK       |    4.6ms |  29.3% |  77.8% | --           | RUNNING
 294s       | OK       |    5.4ms |  28.1% |  78.2% | --           | RUNNING
 295s       | OK       |    6.1ms |  29.4% |  78.4% | --           | RUNNING
 296s       | OK       |    6.3ms |  23.0% |  78.0% | --           | RUNNING
 297s       | OK       |    8.6ms |  31.0% |  78.2% | --           | RUNNING
 298s       | OK       |    6.8ms |  30.5% |  79.8% | --           | RUNNING
